Location name,Amount spent (USD)
Bulawayo,5677
Harare Province,11352
Manicaland Province,2516
Mashonaland Central Province,1394
Mashonaland East Province,2145
Mashonaland West Province,2282
Masvingo Province,1770
Matabeleland North Province,790
Matabeleland South Province,979
Midlands Province,2893
Unknown,≤100
