Location name,Amount spent (USD)
Central Province,896
Copperbelt Province,5786
Eastern Province,489
Luapula Province,329
Lusaka Province,14999
Muchinga Province,≤100
Northern Province,592
Northwestern Province,656
Southern Province,1057
Unknown,≤100
Western Province,276
