Location name,Amount spent (EUR)
Andalusia,31062
Aragón,4499
Balearic Islands,4746
Cantabria,1905
Castilla y Leon,5751
Castilla-La Mancha,5712
Cataluña,30123
Comunidad Valenciana,18970
Comunidad de Madrid,25642
Extremadura,3785
Galicia,7953
Islas Canarias,9300
La Rioja,928
Navarra,3214
País Vasco,10871
Principality of Asturias,3431
Region of Murcia,4697
Unknown,≤100
