Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
322056604527477,Ecoembes,Ecoembes,12927,15
20108693880,Oxfam Intermón,Oxfam Intermón,11952,73
78151799929,Amnistía Internacional España,Amnistía Internacional España,9049,180
122074554119,EU Social,EU Social,8565,8
57845333112,Save the Children España,Save the Children España,7246,162
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,6475,28
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,5219,38
132591756789822,Eroski,Eroski,4782,4
133044800622,Greenpeace España,Greenpeace España,4756,23
551116835028480,YMCA España,YMCA,4122,2
57973661707,WWF España,WWF España,3990,142
131231529742,Fundación Anesvad,Fundación Anesvad,3713,19
178362315106,European Parliament,European Parliament,3652,33
112678828757800,Naturgy,Naturgy,3000,1
281293385242779,Renault,RENAULT ESPAÑA COMERCIAL S.A.,2917,9
741696855903082,Opositatest,Opositatest,2877,20
94118672764,ACNUR Comite español,ACNUR Comite español,2855,35
815597255122198,Osoigo,Osoigo,2619,448
136064386442161,Skip España,Unilever España,2433,1
169915749735403,CEAR,CEAR,2395,17
6258728420,BBVA,BBVA,1985,9
107586119439370,CEPSA Corporate,Cepsa,1959,14
139153867956,Fundació Pasqual Maragall,Fundació Pasqual Maragall,1861,41
107898832590939,European Commission,European Commission,1791,2
306840072990831,Socios Cruz Roja,Socios Cruz Roja,1555,19
245741112112300,Ayuda En Acción,Ayuda En Acción,1484,43
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,1398,186
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,1337,27
205610086124991,Emakunde,Emakunde-Instituto Vasco de la Mujer,1290,24
139224502841411,Diputació de Barcelona,Diputació de Barcelona,1161,1
628184180652280,Gemini 1,These ads ran without a disclaimer,1116,26
11473659787,Educo,Educo,1079,22
103411592241258,Bonka - ES,Bonka - ES,1051,6
804818606239689,Ayuntamiento de Granada,Ayuntamiento de Granada,1039,4
110744281664042,Sumar,Sumar,1020,6
121018564626651,Metrovalencia,Ferrocarrils de la Generalitat Valenciana,975,1
47896270298,Iberostar,Iberostar Beachfront Resorts,950,5
127358287124456,Atenpro,These ads ran without a disclaimer,916,1
244267922266333,BBVA Spark,BBVA,889,2
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,842,5
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,835,21
152984254897718,The Objective,The Objective Media SL,822,13
117887575012127,Leche Pascual,Leche Pascual,818,15
107327235355450,TRAM d'Alacant,Ferrocarrils de la Generalitat Valenciana,804,1
287746737963066,Ayuntamiento de Mérida,Ayuntamiento de Mérida,754,3
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,754,12
116787444739026,España Mejor,Osoigo,700,72
