Location name,Amount spent (EUR)
Aruba,≤100
"Bonaire, Sint Eustatius and Saba",≤100
Curaçao,≤100
Drenthe,1270
Flevoland,1118
Friesland,1680
Gelderland,5278
Groningen,1669
Limburg,2639
Noord-Holland,9061
North Brabant,5990
Overijssel,3009
Sint Maarten,≤100
Unknown,≤100
Utrecht,3925
Zeeland,897
Zuid-Holland,10295
