Page ID,Page name,Disclaimer,Amount spent (EUR)
101782468500004,ACCION21,Accion21,≤100
102443598855327,Minister Ursell Arends,Minister Ursell Arends,≤100
108409526428514,RAIZ ARUBA,RAIZ Aruba,≤100
103220632108447,Minister Geoffrey Wever,Geoffrey Wever,≤100
100424352399009,"Parlamentario Raymicheline ""Misha"" Raymond",Fractie Raiz,≤100
259242660852436,Giovanni Trim,These ads ran without a disclaimer,≤100
101837288924546,Muslimi,These ads ran without a disclaimer,≤100
101462499658434,Easy PdF/08,These ads ran without a disclaimer,≤100
