Page ID,Page name,Disclaimer,Amount spent (EUR)
322056604527477,Ecoembes,Ecoembes,1399
20108693880,Oxfam Intermón,Oxfam Intermón,1272
78151799929,Amnistía Internacional España,Amnistía Internacional España,978
121018564626651,Metrovalencia,Ferrocarrils de la Generalitat Valenciana,975
122074554119,EU Social,EU Social,849
57845333112,Save the Children España,Save the Children España,751
94118672764,ACNUR Comite español,ACNUR Comite español,750
551116835028480,YMCA España,YMCA,703
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,649
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,560
133044800622,Greenpeace España,Greenpeace España,522
57973661707,WWF España,WWF España,446
604479052919754,Diputación de Alicante,Diputación de Alicante,436
178362315106,European Parliament,European Parliament,369
112678828757800,Naturgy,Naturgy,347
741696855903082,Opositatest,Opositatest,333
131231529742,Fundación Anesvad,Fundación Anesvad,333
278953585774047,Igualtat - Ajuntament de València,Servicio de Igualdad y Políticas Inclusivas - Ajuntament de València,320
281293385242779,Renault,RENAULT ESPAÑA COMERCIAL S.A.,318
209596949081406,Fundación ANAR,Fundación ANAR,304
169915749735403,CEAR,CEAR,284
136064386442161,Skip España,Unilever España,247
815597255122198,Osoigo,Osoigo,243
107586119439370,CEPSA Corporate,Cepsa,221
103411592241258,Bonka - ES,Bonka - ES,214
107898832590939,European Commission,European Commission,202
6258728420,BBVA,BBVA,197
139153867956,Fundació Pasqual Maragall,Fundació Pasqual Maragall,197
306840072990831,Socios Cruz Roja,Socios Cruz Roja,190
1608527132742127,Ajuntament de Nules,Ayuntamiento de Nules,172
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,153
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,143
158316074278650,Xiob Inmobiliaria,Xiob Inmobiliaria,132
628184180652280,Gemini 1,These ads ran without a disclaimer,128
110744281664042,Sumar,Sumar,124
245741112112300,Ayuda En Acción,Ayuda En Acción,124
11473659787,Educo,Educo,108
47896270298,Iberostar,Iberostar Beachfront Resorts,≤100
244267922266333,BBVA Spark,BBVA,≤100
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,≤100
152984254897718,The Objective,The Objective Media SL,≤100
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,≤100
127358287124456,Atenpro,These ads ran without a disclaimer,≤100
117887575012127,Leche Pascual,Leche Pascual,≤100
107327235355450,TRAM d'Alacant,Ferrocarrils de la Generalitat Valenciana,≤100
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,≤100
116787444739026,España Mejor,Osoigo,≤100
270587517074225,MySolarEnergy,MySolarEnergy,≤100
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,≤100
184715964882826,Fundación Mutua Madrileña,Fundación Mutua Madrileña,≤100
228207683888801,Ayuntamiento de Elche - Ajuntament d'Elx,Ayuntamiento de Elche - Ajuntament d'Elx,≤100
130769693669098,Plataforma de Infancia,Plataforma de Infancia,≤100
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100
228545230545402,Manos Unidas,Manos Unidas,≤100
300102416847349,Wetaca,Wetaca,≤100
116136108464509,CaixaBank,CaixaBank,≤100
104643967668221,endesa,Endesa,≤100
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100
109661270844093,Desactiva la trata,Diaconía España,≤100
45817335745,Entreculturas,Entreculturas,≤100
1452048615043588,Gemini 2,These ads ran without a disclaimer,≤100
178932215807163,Endesa Clientes,Findasense,≤100
584242101601978,Ajuntament d'Alcoi,These ads ran without a disclaimer,≤100
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,≤100
1566161093633067,Santander Empresas,Santander España,≤100
230443473984636,Fundación para el Avance de la Libertad,Fundación para el Avance de la Libertad,≤100
471951929539262,Energia_Vital,Energia_Vital,≤100
121794324641122,Forbes España,Forbes España,≤100
207705069273106,Bicentenaria,These ads ran without a disclaimer,≤100
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100
114133659989949,Edusi Alicante,These ads ran without a disclaimer,≤100
125601904139182,Yorokobu,These ads ran without a disclaimer,≤100
105848177845789,All Out en español,All Out en español,≤100
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100
100521776281080,Astara Mobility,These ads ran without a disclaimer,≤100
111892984250,Fundación World Vision España,Fundación World Vision International,≤100
111338062259889,Fundación Secretariado Gitano,Fundación Secretariado Gitano,≤100
1716846438609314,Haz Testamento Solidario,"DARYL UPSALL & ASSOCIATES, S.L.",≤100
184377348315163,Ford UK,These ads ran without a disclaimer,≤100
133527873391300,ABD-ONG,ABD-ONG,≤100
388161338008393,Socialistas Ibi,Socialistas Ibi,≤100
174696652583261,Fundación Aladina,Fundación Aladina,≤100
131385596733771,SIPA,SIPA,≤100
216211528733118,TAPP Water,These ads ran without a disclaimer,≤100
101812872336696,Alivia,Fundación Alivia España,≤100
120104454689359,MAPFRE,MAPFRE,≤100
403179016475948,Ajuntament de Xàbia,These ads ran without a disclaimer,≤100
322056604527477,Ecoembes,These ads ran without a disclaimer,≤100
70020937349,SEO/BirdLife,SEO/BirdLife,≤100
108481062540835,CCOO Comisiones Obreras,CCOO Comisiones Obreras,≤100
1793510380925494,USR Diaspora,Partidul Uniunea Salvați România,≤100
105664031745,UNRWA.es,UNRWA España,≤100
163128007083177,El Periòdic d'Ontinyent,El Periòdic d'Ontinyent,≤100
1035516339843936,Relevo Contigo,Relevo Contigo,≤100
119814118041196,Falange Auténtica,Falange Auténtica,≤100
166279556565899,Aztivate,Bmind Sales Maker Company S.L.,≤100
119268861102655,AbogadoR,AbogadoR,≤100
108865978849519,Buscando el Cambio,These ads ran without a disclaimer,≤100
711070775679625,Huawei Spain,Huawei Spain,≤100
205020556374341,Bezoya,Bezoya,≤100
114436511929614,Fad,Fad,≤100
421835284539986,clm24.es,clm24.es,≤100
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,≤100
131917366935150,Zurich,Zurich,≤100
297049206972490,El Temps,El Temps,≤100
400445143359153,Fundació Silvestre,Fundació Silvestre,≤100
209238294467482,Evangelio y VIDA,Revista Evangelio y Vida,≤100
1615017691847916,BASF,These ads ran without a disclaimer,≤100
11011041279,FELGTBI+,FELGTBI+,≤100
272960007198,Calala Fondo de Mujeres,Calala Fondo de Mujeres,≤100
166419473410576,elperiodic.com,elperiodic.com,≤100
1205116199615951,Acció Ecologista - Agró.  Comarca de la Costera,ACCIO ECOLOGISTA - AGRO,≤100
2099850260229889,Muévete en Verde,Iberdrola,≤100
134590246581400,Parlament Europeu a Barcelona,Parlament Europeu a Barcelona,≤100
852707618258389,Hablamos Español Libertad de Elección de Lengua,Asociación HablamosEspañol,≤100
356491188244058,La Política Online ES,La Política Online,≤100
