Page ID,Page name,Disclaimer,Amount spent (EUR)
322056604527477,Ecoembes,Ecoembes,3205
122074554119,EU Social,EU Social,1841
20108693880,Oxfam Intermón,Oxfam Intermón,1761
78151799929,Amnistía Internacional España,Amnistía Internacional España,1493
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,1137
57845333112,Save the Children España,Save the Children España,1086
804818606239689,Ayuntamiento de Granada,Ayuntamiento de Granada,1039
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,895
741696855903082,Opositatest,Opositatest,805
178362315106,European Parliament,European Parliament,764
131231529742,Fundación Anesvad,Fundación Anesvad,711
57973661707,WWF España,WWF España,664
133044800622,Greenpeace España,Greenpeace España,626
136064386442161,Skip España,Unilever España,596
100170683375588,Diputación de Cádiz,Diputación de Cádiz,579
551116835028480,YMCA España,YMCA,548
281293385242779,Renault,RENAULT ESPAÑA COMERCIAL S.A.,538
112678828757800,Naturgy,Naturgy,529
6258728420,BBVA,BBVA,482
107898832590939,European Commission,European Commission,475
169915749735403,CEAR,CEAR,459
107586119439370,CEPSA Corporate,Cepsa,374
109330595171740,EDUSI Bajo Andarax,EDUSI Bajo Andarax,373
94118672764,ACNUR Comite español,ACNUR Comite español,369
139153867956,Fundació Pasqual Maragall,Fundació Pasqual Maragall,351
815597255122198,Osoigo,Osoigo,351
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,341
245741112112300,Ayuda En Acción,Ayuda En Acción,322
306840072990831,Socios Cruz Roja,Socios Cruz Roja,285
214605018563667,PSOE Jaén,PSOE Jaén,247
127358287124456,Atenpro,These ads ran without a disclaimer,245
152984254897718,The Objective,The Objective Media SL,230
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,223
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,200
110744281664042,Sumar,Sumar,195
425072040904191,Diputación de Sevilla,Diputación de Sevilla,190
107327235355450,TRAM d'Alacant,Ferrocarrils de la Generalitat Valenciana,189
11473659787,Educo,Educo,189
47896270298,Iberostar,Iberostar Beachfront Resorts,182
628184180652280,Gemini 1,These ads ran without a disclaimer,172
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,169
104475899363938,Teo López UMA,Teo López UMA,163
117887575012127,Leche Pascual,Leche Pascual,154
184715964882826,Fundación Mutua Madrileña,Fundación Mutua Madrileña,149
244267922266333,BBVA Spark,BBVA,145
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,143
228545230545402,Manos Unidas,Manos Unidas,128
1393580884194044,Viva Chiclana,BOOM SOCIAL MEDIA S. L.,122
116787444739026,España Mejor,Osoigo,122
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,119
116189118344,Fundación Igualdad Animal,Fundación Igualdad Animal,110
130769693669098,Plataforma de Infancia,Plataforma de Infancia,105
109661270844093,Desactiva la trata,Diaconía España,104
1566161093633067,Santander Empresas,Santander España,103
104643967668221,endesa,Endesa,101
177525235440982,Juan José Hinojosa,Estudio Cuatrocento,≤100
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,≤100
300102416847349,Wetaca,Wetaca,≤100
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100
230443473984636,Fundación para el Avance de la Libertad,Fundación para el Avance de la Libertad,≤100
121794324641122,Forbes España,Forbes España,≤100
45817335745,Entreculturas,Entreculturas,≤100
116136108464509,CaixaBank,CaixaBank,≤100
1460911797467819,La Rinconada Web,La Rinconada,≤100
178932215807163,Endesa Clientes,Findasense,≤100
125601904139182,Yorokobu,These ads ran without a disclaimer,≤100
100521776281080,Astara Mobility,These ads ran without a disclaimer,≤100
1452048615043588,Gemini 2,These ads ran without a disclaimer,≤100
207705069273106,Bicentenaria,These ads ran without a disclaimer,≤100
437152813132271,Codisa-Predif Andalucía,Codisa Predif Andalucía,≤100
322056604527477,Ecoembes,These ads ran without a disclaimer,≤100
1483441501962514,EDUSI Chiclana,EDUSI Chiclana,≤100
222525367783351,Andalucía Información,BOOM SOCIAL MEDIA S. L.,≤100
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100
111892984250,Fundación World Vision España,Fundación World Vision International,≤100
184377348315163,Ford UK,These ads ran without a disclaimer,≤100
101812872336696,Alivia,Fundación Alivia España,≤100
471951929539262,Energia_Vital,Energia_Vital,≤100
1716846438609314,Haz Testamento Solidario,"DARYL UPSALL & ASSOCIATES, S.L.",≤100
901463546910686,Pedro Cabrera Rentero,Pedro Cabrera Rentero,≤100
111338062259889,Fundación Secretariado Gitano,Fundación Secretariado Gitano,≤100
119558145353441,Marifran Carazo Villalonga,Partido Popular de Granada,≤100
1419795018284044,Diaconía España,Diaconía España,≤100
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100
120104454689359,MAPFRE,MAPFRE,≤100
618265281589566,UICN - Centre de coopération pour la Méditerranée,IUCN Centre for Mediterranean Cooperation,≤100
105848177845789,All Out en español,All Out en español,≤100
108481062540835,CCOO Comisiones Obreras,CCOO Comisiones Obreras,≤100
114436511929614,Fad,Fad,≤100
122982029100466,Más País Andalucía,Más País Andalucía,≤100
214386988652529,Cruz Roja Almería,Cruz Roja Almería,≤100
1793510380925494,USR Diaspora,Partidul Uniunea Salvați România,≤100
198239414451,PP Alcalá de Guadaíra,PP Alcalá de Guadaíra,≤100
166279556565899,Aztivate,Bmind Sales Maker Company S.L.,≤100
